,id,location.city.name,location.city.normalized_name,location.district.name,location.region.name,location.region.normalized_name,title,price,currency,floor_select,furniture,builttype,m,rooms,rent
16798,768660718,Włocławek,wloclawek,,Kujawsko-pomorskie,kujawsko-pomorskie,"Mieszkanie, 59 m², Włocławek",2750.0,PLN,1,yes,apartamentowiec,59,three,760
16799,768660091,Inowrocław,inowroclaw,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie w Inowrocławiu,1500.0,PLN,2,no,blok,44,two,440
16800,765450484,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Zupełnie nowe mieszkanie - Strobanda!,1900.0,PLN,4,yes,apartamentowiec,40,two,500
16801,768652336,Inowrocław,inowroclaw,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie 2 pokojowe w Solankach w Inowrocławiu do wynajęcia,1000.0,PLN,2,yes,blok,34,two,1
16802,768651498,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Komfortowy Apartament!!! Winda!!! Garaż!!!,3300.0,PLN,2,no,apartamentowiec,84,three,1
16803,768650851,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,3 pokojowe z Garażem,3000.0,PLN,2,no,blok,60,three,10
16804,768649911,Grudziądz,grudziadz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Umeblowane,2 pokoje, dla firm, fv VAT, blisko centrum,",1300.0,PLN,1,yes,kamienica,45,two,800
16805,768647355,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Do Wynajęcia Słoneczne Mieszkanie Bydgoszcz Wyżyny,2000.0,PLN,4,yes,blok,48.5,two,
16806,768637802,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,kawalerka 35 m na Górzyskowie do wynajęcia,1400.0,PLN,2,yes,blok,35,one,
16807,768637727,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,"Klimatyczny apartament, świeżo po remoncie.",3500.0,PLN,3,yes,kamienica,65,two,
16808,768710824,Świecie,swiecie,,Kujawsko-pomorskie,kujawsko-pomorskie,"48m, IV pietro, 2 pokoje, Marianki Krausego 19 od 01 sierpnia",1300.0,PLN,2,yes,blok,48,two,
16809,768958930,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Do wynajęcia pomieszczenie 40m z garażem dwustanowiskowym 30m.,900.0,PLN,1,no,wolnostojacy,70,two,
16810,692288232,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Kawalerka po remoncie - super lokalizacja!,1199.0,PLN,1,yes,kamienica,13.77,one,
16811,759509229,Wąbrzeźno,wabrzezno,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie 3 pokoje os.Marysieńka,1100.0,PLN,Parter,yes,blok,73,three,
16812,656370230,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie,2400.0,PLN,1,yes,apartamentowiec,52,three,
16813,758207495,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Kawalerka, do wynajęcia, ul. Śląska",1200.0,PLN,Parter,yes,kamienica,33,one,
16814,768630240,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,"Do wynajęcia 4 pokoje, 1 piętro, Mokre",2500.0,PLN,,no,blok,58,four,
16815,768629620,Niemcz,niemcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajem- Niemcz 13 min do Centrum Bydgoszczy!,1900.0,PLN,,yes,blok,37.65,two,
16816,768627780,Grudziądz,grudziadz,,Kujawsko-pomorskie,kujawsko-pomorskie,Świetna lokalizacja ! Zadbana kamienica !,1200.0,PLN,,yes,kamienica,34,one,
16817,768627131,Brodnica,brodnica,,Kujawsko-pomorskie,kujawsko-pomorskie,Kawalerka na wynajem,1300.0,PLN,,yes,blok,29,one,
